,# features,vectorization time [s],train accuracy [%],test accuracy [%],training time [s],vectorization,tokenizer,stop_words,ngram range,max features,z-score,columns,sparse,model,activation,C,widths,# epochs,learning rate,batch size
94,1000,1.93,94.6935,94.2762,100.9,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,100,0.01,35918
95,1000,1.93,95.2503,94.4989,94.26,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,100,0.01,35918
96,100,0.97,52.7451,52.5056,0.23,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,1,0.01,100
97,100,0.97,52.3331,52.1604,0.0,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,1,0.01,35918
98,100,0.97,81.7028,82.3274,2.14,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,10,0.01,100
99,100,0.97,52.3331,52.1604,0.07,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,10,0.01,35918
100,100,0.97,86.3077,86.9154,21.78,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,100,0.01,100
101,100,0.97,52.3331,52.1604,0.63,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,100,0.01,35918
102,100,0.97,52.3331,52.1604,0.51,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,1.0,,1,0.01,100
103,100,0.97,52.3331,52.1604,0.42,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,10.0,,1,0.01,100
104,100,0.97,63.4389,63.8753,0.56,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,50.0,,1,0.01,100
105,100,0.97,52.3331,52.1604,0.02,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,1.0,,1,0.01,35918
106,100,0.97,52.3331,52.1604,0.02,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,10.0,,1,0.01,35918
107,100,0.97,52.3331,52.1604,0.03,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,50.0,,1,0.01,35918
108,100,0.97,52.3331,52.1604,4.19,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,1.0,,10,0.01,100
109,100,0.97,52.3331,52.1604,4.75,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,10.0,,10,0.01,100
110,100,0.97,64.7196,64.9666,4.85,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,50.0,,10,0.01,100
111,100,0.97,52.3331,52.1604,0.18,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,1.0,,10,0.01,35918
112,100,0.97,52.3331,52.1604,0.22,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,10.0,,10,0.01,35918
113,100,0.97,52.3331,52.1604,0.15,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,50.0,,10,0.01,35918
114,100,0.97,52.3331,52.1604,42.19,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,1.0,,100,0.01,100
115,100,0.97,52.3331,52.1604,46.78,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,10.0,,100,0.01,100
116,100,0.97,66.5377,66.7483,41.98,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,50.0,,100,0.01,100
117,100,0.97,52.3331,52.1604,1.51,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,1.0,,100,0.01,35918
118,100,0.97,52.3331,52.1604,1.52,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,10.0,,100,0.01,35918
119,100,0.97,60.1732,60.2339,1.6,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LinearSVM,,50.0,,100,0.01,35918
120,1000,0.93,52.3331,52.1604,0.35,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LogisticRegression,,,,1,0.01,100
121,1000,0.93,52.3331,52.1604,0.01,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LogisticRegression,,,,1,0.01,35918
122,1000,0.93,71.4127,71.971,3.81,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LogisticRegression,,,,10,0.01,100
123,1000,0.93,52.3331,52.1604,0.12,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LogisticRegression,,,,10,0.01,35918
124,1000,0.93,90.676,90.8686,36.6,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LogisticRegression,,,,100,0.01,100
125,1000,0.93,52.3331,52.1604,0.77,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LogisticRegression,,,,100,0.01,35918
126,1000,0.93,52.3331,52.1604,0.64,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,1.0,,1,0.01,100
127,1000,0.93,52.3331,52.1604,0.6,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,10.0,,1,0.01,100
128,1000,0.93,52.3331,52.1604,0.63,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,50.0,,1,0.01,100
129,1000,0.93,52.3331,52.1604,0.05,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,1.0,,1,0.01,35918
130,1000,0.93,52.3331,52.1604,0.05,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,10.0,,1,0.01,35918
131,1000,0.93,52.3331,52.1604,0.03,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,50.0,,1,0.01,35918
